path_id,od_id,arc_id,value
327,113,426,1.0
328,113,420,1.0
328,113,191,1.0
328,113,184,1.0
328,113,426,1.0
329,113,422,1.0
329,113,433,1.0
329,113,426,1.0
330,114,420,1.0
330,114,435,1.0
330,114,426,1.0
331,114,420,1.0
331,114,191,1.0
331,114,184,1.0
331,114,426,1.0
332,114,422,1.0
332,114,433,1.0
332,114,426,1.0
333,115,367,1.0
333,115,117,1.0
333,115,112,1.0
334,115,367,1.0
334,115,19,1.0
334,115,14,1.0
335,115,367,1.0
335,115,19,1.0
335,115,16,1.0
335,115,112,1.0
336,116,367,1.0
336,116,117,1.0
336,116,110,1.0
337,116,367,1.0
337,116,269,1.0
337,116,266,1.0
338,116,367,1.0
338,116,19,1.0
338,116,12,1.0
338,116,266,1.0
339,117,420,1.0
339,117,435,1.0
339,117,426,1.0
339,117,221,1.0
340,117,420,1.0
340,117,191,1.0
340,117,184,1.0
340,117,426,1.0
340,117,221,1.0
341,117,422,1.0
341,117,433,1.0
341,117,426,1.0
341,117,221,1.0
342,118,420,1.0
342,118,435,1.0
342,118,426,1.0
342,118,221,1.0
343,118,420,1.0
343,118,191,1.0
343,118,184,1.0
343,118,426,1.0
343,118,221,1.0
344,118,422,1.0
344,118,433,1.0
344,118,426,1.0
344,118,221,1.0
345,119,420,1.0
345,119,435,1.0
345,119,426,1.0
345,119,145,1.0
346,119,420,1.0
346,119,191,1.0
346,119,184,1.0
346,119,426,1.0
346,119,145,1.0
347,119,420,1.0
347,119,435,1.0
347,119,426,1.0
347,119,453,1.0
347,119,141,1.0
349,121,435,1.0
350,121,191,1.0
350,121,184,1.0
351,121,449,1.0
351,121,429,1.0
352,122,449,1.0
353,122,191,1.0
353,122,188,1.0
354,122,435,1.0
354,122,428,1.0
355,123,449,1.0
356,123,191,1.0
356,123,188,1.0
357,123,435,1.0
357,123,428,1.0
358,124,421,1.0
359,124,451,1.0
359,124,423,1.0
360,124,449,1.0
360,124,365,1.0
360,124,366,1.0
361,125,421,1.0
362,125,451,1.0
362,125,423,1.0
363,125,449,1.0
363,125,365,1.0
363,125,366,1.0
364,126,421,1.0
365,126,451,1.0
365,126,423,1.0
366,126,449,1.0
366,126,365,1.0
366,126,366,1.0
367,127,191,1.0
367,127,186,1.0
368,127,435,1.0
368,127,430,1.0
369,127,191,1.0
369,127,184,1.0
369,127,430,1.0
370,128,191,1.0
370,128,186,1.0
371,128,435,1.0
371,128,430,1.0
372,128,191,1.0
372,128,184,1.0
372,128,430,1.0
373,129,435,1.0
373,129,426,1.0
374,129,191,1.0
374,129,184,1.0
374,129,426,1.0
375,129,449,1.0
375,129,429,1.0
375,129,426,1.0
376,130,435,1.0
376,130,426,1.0
377,130,191,1.0
377,130,184,1.0
377,130,426,1.0
378,130,449,1.0
378,130,429,1.0
378,130,426,1.0
379,131,435,1.0
379,131,426,1.0
380,131,191,1.0
380,131,184,1.0
380,131,426,1.0
381,131,449,1.0
381,131,429,1.0
381,131,426,1.0
382,132,449,1.0
382,132,365,1.0
383,132,449,1.0
383,132,11,1.0
383,132,18,1.0
384,132,191,1.0
384,132,188,1.0
384,132,365,1.0
385,133,449,1.0
385,133,365,1.0
386,133,449,1.0
386,133,11,1.0
386,133,18,1.0
387,133,191,1.0
387,133,188,1.0
387,133,365,1.0
388,134,435,1.0
388,134,426,1.0
388,134,221,1.0
389,134,191,1.0
389,134,184,1.0
389,134,426,1.0
389,134,221,1.0
390,134,435,1.0
390,134,426,1.0
390,134,413,1.0
390,134,217,1.0
391,135,435,1.0
391,135,426,1.0
391,135,221,1.0
392,135,191,1.0
392,135,184,1.0
392,135,426,1.0
392,135,221,1.0
393,135,435,1.0
393,135,426,1.0
393,135,413,1.0
393,135,217,1.0
394,136,435,1.0
394,136,426,1.0
394,136,145,1.0
395,136,191,1.0
395,136,184,1.0
395,136,426,1.0
395,136,145,1.0
396,136,435,1.0
396,136,426,1.0
396,136,453,1.0
396,136,141,1.0
397,137,435,1.0
397,137,426,1.0
397,137,145,1.0
398,137,191,1.0
398,137,184,1.0
398,137,426,1.0
398,137,145,1.0
399,137,435,1.0
399,137,426,1.0
399,137,453,1.0
399,137,141,1.0
400,138,435,1.0
